epoch,lr,loss_trn,loss_val,err_trn,err_val,ntrn,n_val,L,D,W
,,190.03846551789118,188.91308852616118,0.853950114062567,0.8565313052535226,512,128,1,,
,,160.52176405187436,161.7321621432631,0.7075981212508656,0.7141833851137297,512,128,2,,
,,131.66895696380945,133.95053613134286,0.5661346762287427,0.5797131034165968,512,128,3,,
,,105.77045071640423,109.38263382806852,0.4469583445424059,0.46160129894747837,512,128,4,,
,,86.28110314914389,90.57731262648548,0.35818530613562316,0.37550953337141224,512,128,5,,
,,68.67312815970384,69.25446605302382,0.2849590575279559,0.2870766938183751,512,128,6,,
,,55.26644945442294,54.75894180258969,0.2286418134691813,0.22829571189209363,512,128,7,,
,,42.18929956673358,39.45692411221507,0.17970795263017117,0.1719001373441832,512,128,8,,
,,33.21362573176036,33.11537395525402,0.14718178998192535,0.14518426611048646,512,128,9,,
,,26.985887963810367,28.282331234020248,0.12220250075528233,0.12532041991997106,512,128,10,,
,,22.552443496481693,23.22146496960253,0.1021494097367468,0.1046563695740263,512,128,11,,
,,18.923126975897127,19.285416904121426,0.0876413024173674,0.08954410980902493,512,128,12,,
,,15.677892045838664,15.65477774250284,0.07172704109316186,0.07147798698196833,512,128,13,,
,,12.475397616624669,12.355083149730785,0.05722775539212307,0.057573602351505014,512,128,14,,
,,9.922045538141743,9.487337243710568,0.045338865342472244,0.04394136109748218,512,128,15,,
,,7.708377609875615,7.055344951853219,0.03750965838668196,0.035282778977664325,512,128,16,,
,,5.706664695313808,5.384809998780793,0.026351080794039725,0.025752774656995388,512,128,17,,
,,4.328293338449945,4.41818225103383,0.020841308440658932,0.02145240603155297,512,128,18,,
,,3.040087822972177,3.0915222211855946,0.014957454609221784,0.015264290640143976,512,128,19,,
,,2.168345007797904,2.2572561697653057,0.009876336334322309,0.01024712585966596,512,128,20,,
,,1.518702185996799,1.5692408762022687,0.007335622826198901,0.007745860925722973,512,128,21,,
,,1.1334387127280174,1.181363885025308,0.005362870653618835,0.005666994534698521,512,128,22,,
,,0.8185997484527285,0.8427936544313455,0.0035215905265040953,0.0038035895849699557,512,128,23,,
,,0.5115063373818034,0.4989920833440217,0.0023698911667362835,0.002543145164550493,512,128,24,,
,,0.3417627992449793,0.35459674222715265,0.0017126406886745862,0.0019017643246291099,512,128,25,,
,,0.2419466052934217,0.25052195742642697,0.0011692108248922174,0.0012975163974351753,512,128,26,,
,,0.15959593712253878,0.1618692939730761,0.0007211608853294389,0.0007721806629551818,512,128,27,,
,,0.1061905947359981,0.1123652645399081,0.0005076803412182145,0.0005650782770647198,512,128,28,,
,,0.06595603904413369,0.07057074047691372,0.0003162140230981187,0.00035638814746174184,512,128,29,,
,,0.03933964298520851,0.03986945963159563,0.00015342186535976022,0.00015967074066942759,512,128,30,,
,,0.02501359023352507,0.02465506839330948,0.00010286248950178887,0.00010445484990572455,512,128,31,,
,,0.013544552491263451,0.012033184184016258,5.6379774306063884e-05,5.27484978912307e-05,512,128,32,,
,,0.008481947367035845,0.008472817245289258,3.6116711711312495e-05,3.663853441438153e-05,512,128,33,,
,,0.004299515193842321,0.004837080259058034,1.8747227623086634e-05,2.1777118924424838e-05,512,128,34,,
,,0.002702746749919115,0.00274378055647128,1.1764499748459906e-05,1.2419266170897036e-05,512,128,35,,
,,0.001449596250285778,0.001331580522019105,6.181323101466649e-06,6.165422502936255e-06,512,128,36,,
,,0.0009260873467779897,0.000907683663787072,3.952007366162487e-06,4.171414069793101e-06,512,128,37,,
,,0.0004553615963702745,0.0004834100155966424,2.052981616670439e-06,2.163328875022674e-06,512,128,38,,
,,0.0002955912180833511,0.0003022415113188063,1.3614858491941747e-06,1.393182759013099e-06,512,128,39,,
,,0.000184573933408516,0.0001865339963943765,8.878873538981107e-07,9.040894288867831e-07,512,128,40,,
,,0.00010945550926312143,0.00011046479086213948,5.260993975583286e-07,5.56411101690951e-07,512,128,41,,
,,7.335816229639006e-05,7.326563144631792e-05,3.5855371653962317e-07,3.8782714681377824e-07,512,128,42,,
,,4.8572645585015434e-05,5.160302222967204e-05,2.470272076447555e-07,2.7949872872133164e-07,512,128,43,,
,,2.94991766870824e-05,2.9644933352952417e-05,1.471260535886493e-07,1.54988109951659e-07,512,128,44,,
,,1.5745175574325592e-05,1.5852422276812262e-05,7.77618416948834e-08,8.158667464428326e-08,512,128,45,,
,,7.988918576362417e-06,7.723568227891002e-06,4.03327373781176e-08,4.1314953238595647e-08,512,128,46,,
,,4.599045581674855e-06,5.117864296768357e-06,2.114844158833821e-08,2.3186174707539445e-08,512,128,47,,
,,2.529800034157255e-06,2.508127981480763e-06,1.261283334112742e-08,1.2486386904664492e-08,512,128,48,,
,,1.6229595596534037e-06,1.7564507682481105e-06,8.203075093428654e-09,8.372136585490262e-09,512,128,49,,
,,9.656014896709563e-07,1.0116153483468007e-06,5.151012010660659e-09,5.0518827208110165e-09,512,128,50,,
