epoch,lr,loss_trn,loss_val,err_trn,err_val,ntrn,n_val,L,D,W
,,16.98624011138317,17.022257808513626,0.44329769090604965,0.446088689998385,2048,512,1,,
,,2.4818396409161343,2.4790115800085433,0.058957349698280016,0.058810857679835626,2048,512,2,,
,,1.4372872531189307,1.45145563295553,0.03171927054002703,0.03196925202516772,2048,512,3,,
,,0.6534230500714073,0.6513508338728582,0.0151752902664831,0.015186152866181983,2048,512,4,,
,,0.4666796033241396,0.4628511813290643,0.011131509287252855,0.011102004897401272,2048,512,5,,
,,0.29122126197276,0.2886927898775665,0.006829746645366322,0.006819890587115047,2048,512,6,,
,,0.1950330997453345,0.19445155501752875,0.004459003797335506,0.004489352717894576,2048,512,7,,
,,0.1183219634811298,0.11693770714005601,0.0027440135045680696,0.0027664423053474912,2048,512,8,,
,,0.0666118298784792,0.06623590340082304,0.001575612393691438,0.0015738357623256596,2048,512,9,,
,,0.022189245536863304,0.022506060377685783,0.0005135291971619373,0.0005224222197744697,2048,512,10,,
,,0.014915949119443168,0.015116691933601347,0.00034923372161721857,0.0003582775051322152,2048,512,11,,
,,0.010685959931708379,0.010944833009002905,0.00024701308833441175,0.00025686405969100636,2048,512,12,,
,,0.006832948853925656,0.0071465920571373185,0.00015314481010610505,0.00016202367177500668,2048,512,13,,
,,0.003426642584721076,0.0034271595772796684,7.957930430876801e-05,7.962299229129292e-05,2048,512,14,,
,,0.0025642016103333814,0.0025424545469482866,5.953231878085295e-05,5.9232877170499774e-05,2048,512,15,,
,,0.0017605743177982161,0.0017811886108037801,4.103059696749541e-05,4.163292438890746e-05,2048,512,16,,
,,0.001036020204433238,0.0010795019894091393,2.4467695757476248e-05,2.558563248255712e-05,2048,512,17,,
,,0.0005076128611385351,0.0005045604284425811,1.1629182065100917e-05,1.1678739555967202e-05,2048,512,18,,
,,0.0003285661819795346,0.00033467208724241826,7.495148973919814e-06,7.64424515694574e-06,2048,512,19,,
,,0.00019690595272930816,0.00020001657499423378,4.523885027146654e-06,4.59612121367661e-06,2048,512,20,,
,,9.310292589588183e-05,9.4085272990753e-05,2.1525253040860632e-06,2.172417359053645e-06,2048,512,21,,
,,3.528445890884262e-05,3.401849890262096e-05,8.097658209704092e-07,7.794288219557854e-07,2048,512,22,,
,,2.2328236348933413e-05,2.1960182448884247e-05,5.111316239476557e-07,5.045600111704032e-07,2048,512,23,,
,,1.3610022575082754e-05,1.3008342691968979e-05,3.154050293073069e-07,3.0223808071938657e-07,2048,512,24,,
,,7.006388130956103e-06,6.763213989239629e-06,1.6139161160826597e-07,1.5691134726447347e-07,2048,512,25,,
,,2.629019592017944e-06,2.6386348431612945e-06,6.018942243251172e-08,6.054147651781609e-08,2048,512,26,,
,,1.3468547138059518e-06,1.3428498323369681e-06,3.063899953751175e-08,3.057501037624565e-08,2048,512,27,,
,,7.583340796806983e-07,7.762041055387433e-07,1.7003523555210967e-08,1.7384743267588505e-08,2048,512,28,,
,,1.9548186017054656e-07,2.0055039282557085e-07,4.51432706561832e-09,4.658481747810407e-09,2048,512,29,,
,,7.322804778221311e-08,7.456760206381796e-08,1.7027479055520337e-09,1.7606707579205971e-09,2048,512,30,,
,,2.351300024623817e-08,2.43092661253785e-08,5.530994424154956e-10,5.737272775036106e-10,2048,512,31,,
,,8.804106071698996e-09,9.106605839872394e-09,2.0411291816077925e-10,2.1258727601108855e-10,2048,512,32,,
,,2.8172194522584745e-09,2.6679970646190642e-09,6.401018597022201e-11,6.249069481682833e-11,2048,512,33,,
,,8.142155333372804e-10,8.390841678600457e-10,1.955870304317894e-11,2.0269097112252268e-11,2048,512,34,,
,,2.565414731559035e-10,2.7295299847419805e-10,6.1208701641868184e-12,6.590739637639898e-12,2048,512,35,,
,,5.80424103840479e-11,6.182876592766469e-11,1.3447191467203321e-12,1.4583166632083014e-12,2048,512,36,,
,,2.7776189658106876e-11,2.579977554050808e-11,6.373381764493829e-13,5.938499955127057e-13,2048,512,37,,
,,5.802058940400063e-12,5.852577859231177e-12,1.3381254065991136e-13,1.3380623134347995e-13,2048,512,38,,
,,1.9468477106168505e-12,1.7694659603279023e-12,4.4359150435969446e-14,4.102718658991012e-14,2048,512,39,,
,,3.072974415292485e-13,2.982989806957082e-13,7.173864696125926e-15,7.110724639445216e-15,2048,512,40,,
