epoch,lr,loss_trn,loss_val,err_trn,err_val,ntrn,n_val,L,D,W
,,38.341154777520345,38.79193163094995,0.5222511851630012,0.5297553453920152,512,128,1,,
,,13.923001420408113,13.627554128106672,0.17982863222446785,0.17591238437590317,512,128,2,,
,,8.22840868213148,7.792819320453116,0.1043072220831267,0.09796735250571743,512,128,3,,
,,3.542753263226011,3.4605580167698253,0.04507124836268683,0.04410310455525498,512,128,4,,
,,2.703874969292395,2.6133595948400172,0.03398808098048964,0.03281387002060838,512,128,5,,
,,2.043133707644234,1.9572423524422926,0.025928779093844355,0.02470199083934603,512,128,6,,
,,1.4251781436308133,1.3805829533866063,0.01833037420847604,0.01761534766988617,512,128,7,,
,,0.8588389189838967,0.8047058514510577,0.010947898237707978,0.010181649873632124,512,128,8,,
,,0.6351728903414854,0.6026573952862961,0.00807028324656184,0.0076307948789705905,512,128,9,,
,,0.433658819274233,0.4277918140854096,0.005514424258354949,0.005420846322170021,512,128,10,,
,,0.2854983083935636,0.28348550423878116,0.0036055846001137935,0.003576379329024942,512,128,11,,
,,0.18009002200065127,0.1772330907450505,0.0022707497242107095,0.002178549170073669,512,128,12,,
,,0.12490210978446023,0.13647437358586723,0.0015694213673531092,0.001687056716302287,512,128,13,,
,,0.07526353224691784,0.07461198181959364,0.0009538003748519069,0.0009445174020738943,512,128,14,,
,,0.05980771313535989,0.06242068765614208,0.0007593813182398419,0.0007877119503607204,512,128,15,,
,,0.046026008928706105,0.045196551905934135,0.0005832328916506688,0.0005671395057902257,512,128,16,,
,,0.03705204191381955,0.036699743224565054,0.00046314483928087805,0.00045445463953362573,512,128,17,,
,,0.02896520400121486,0.028707080728441227,0.0003679116382889311,0.0003601840161468886,512,128,18,,
,,0.02118822748815099,0.02133416318666831,0.0002676897843534429,0.0002665014170659425,512,128,19,,
,,0.014042293506068566,0.014216988595640405,0.00017836771952622682,0.0001777466024409626,512,128,20,,
,,0.010966743086006741,0.011576621716253798,0.00013772677147039656,0.00014413489080265834,512,128,21,,
,,0.008073959223369058,0.008709498740808137,0.00010344195011356198,0.00010971165903611414,512,128,22,,
,,0.005940272230848453,0.006059664102917648,7.634708201084556e-05,7.636618178632928e-05,512,128,23,,
,,0.004379465799545016,0.0043486972396723726,5.568053681260899e-05,5.473551761964705e-05,512,128,24,,
,,0.0031053067685021174,0.0031517761916807444,3.925698513899263e-05,3.981001501431012e-05,512,128,25,,
,,0.002068661161522263,0.001991944821008109,2.633551710536307e-05,2.5321495252891466e-05,512,128,26,,
,,0.001293062588967934,0.0012364469177908594,1.5973754677842948e-05,1.5434458659784626e-05,512,128,27,,
,,0.000739359635459681,0.0007633329268130563,9.36306979909531e-06,9.722212705112309e-06,512,128,28,,
,,0.0005029581102578222,0.0005170554292257498,6.334799853672162e-06,6.537555283341297e-06,512,128,29,,
,,0.00028473960328171094,0.0002514663351800232,3.586403514257675e-06,3.1977862324263334e-06,512,128,30,,
,,0.00020205746769521484,0.00016888263921992778,2.5139782650999154e-06,2.118493997753887e-06,512,128,31,,
,,0.00013315591943566138,0.00012227213129148407,1.6895915017582095e-06,1.5792427322140275e-06,512,128,32,,
,,7.980207817999073e-05,7.50314646277737e-05,1.0257425283683472e-06,9.825131892590237e-07,512,128,33,,
,,3.263594095490933e-05,2.9813259842778696e-05,4.189081366177017e-07,3.9010299255053386e-07,512,128,34,,
,,2.2718753182028073e-05,2.1906770118916415e-05,2.943376574230462e-07,2.858956787312998e-07,512,128,35,,
,,1.3674235066574322e-05,1.3446329893832546e-05,1.7480684150740073e-07,1.7687297381648783e-07,512,128,36,,
,,7.487809129464328e-06,6.95462103448038e-06,9.652278823438633e-08,9.218582030521441e-08,512,128,37,,
,,3.1894816209466507e-06,3.2600209977252787e-06,4.0411757225947915e-08,4.1972730756666974e-08,512,128,38,,
,,1.976911710258384e-06,1.9023907012278163e-06,2.5398213467194203e-08,2.4722318779443874e-08,512,128,39,,
,,1.2640672908116956e-06,1.1619391034384923e-06,1.6301669463117732e-08,1.4973704408172383e-08,512,128,40,,
,,8.357337306216983e-07,7.540974610128356e-07,1.0913856446674776e-08,9.789515152959957e-09,512,128,41,,
,,4.44024882601412e-07,4.4256143290148517e-07,5.671634919805191e-09,5.622810872101077e-09,512,128,42,,
,,2.3779247637623194e-07,2.1029021597372904e-07,2.9750555365692364e-09,2.6166539159619253e-09,512,128,43,,
,,1.1656627029791221e-07,1.0283226350454051e-07,1.4795550302043122e-09,1.3123084850381568e-09,512,128,44,,
,,6.189195324290223e-08,6.105946240909155e-08,7.833964932603014e-10,7.803560666333319e-10,512,128,45,,
,,3.341943334682329e-08,3.201862517766743e-08,4.263097348311962e-10,4.090210649364776e-10,512,128,46,,
,,1.6756657561461085e-08,1.5028541615705488e-08,2.1201462085009507e-10,1.9201519066980886e-10,512,128,47,,
,,9.699415963801451e-09,7.921720952465825e-09,1.232863173273853e-10,1.0079073613787937e-10,512,128,48,,
,,3.832292826452263e-09,3.507057743024952e-09,4.853718232085782e-11,4.448024306200571e-11,512,128,49,,
,,1.7418111614264945e-09,1.5575757268061803e-09,2.2130207887130258e-11,2.004252766954808e-11,512,128,50,,
